batter,Left Fast,Left Leg Spin,Left Mid Fast,Left Off Spin,Right  Mid Fast,Right Fast,Right Leg Spin,Right Mid Fast,Right Off Spin
Ishan Kishan,10,1,0,3,1,18,10,4,3
RD Gaikwad,10,1,6,3,0,13,11,4,3
F du Plessis,9,1,4,2,0,15,9,10,4
YBK Jaiswal,9,0,4,3,0,20,3,6,1
D Padikkal,8,1,2,1,0,23,5,2,5
VR Iyer,8,1,3,2,0,12,8,4,3
Abhishek Sharma,7,2,3,5,0,12,7,7,3
HH Pandya,7,0,2,4,0,15,6,6,1
Q de Kock,7,1,1,2,0,11,7,5,5
Shahbaz Ahmed,7,0,0,1,0,8,4,2,5
KD Karthik,6,1,1,3,0,13,5,5,0
RA Tripathi,6,0,2,4,0,12,6,8,4
RG Sharma,6,1,3,4,0,17,11,7,6
SA Yadav,6,1,1,7,0,17,4,7,2
V Kohli,6,1,3,5,0,20,7,4,4
GJ Maxwell,5,2,1,8,0,9,7,5,5
Rashid Khan,5,0,1,1,0,8,0,3,0
SP Narine,5,2,3,3,0,10,4,5,2
SS Iyer,5,2,2,0,0,11,6,0,1
WP Saha,5,1,1,7,0,18,3,6,1
A Badoni,4,0,2,1,0,7,3,1,4
AD Russell,4,1,2,0,0,12,7,4,1
AK Markram,4,1,0,8,0,9,6,2,3
AR Patel,4,1,2,0,0,5,4,5,3
DA Warner,4,0,2,3,0,15,5,5,2
KL Rahul,4,2,4,1,0,18,2,9,2
N Pooran,4,3,0,0,0,20,5,4,1
N Wadhera,4,0,0,0,0,5,3,1,1
R Tewatia,4,1,0,2,0,12,1,4,1
RM Patidar,4,0,2,3,0,8,3,1,2
SV Samson,4,3,3,5,0,20,5,8,1
TH David,4,1,0,0,0,6,5,5,0
Tilak Varma,4,0,0,1,0,10,5,3,1
AM Rahane,3,1,2,4,0,10,5,2,3
AT Rayudu,3,0,3,0,0,6,5,5,6
C Green,3,1,1,1,0,7,0,1,3
D Brevis,3,0,0,0,0,4,2,1,0
M Shahrukh Khan,3,0,1,0,0,10,4,4,1
MA Agarwal,3,0,2,4,1,11,9,4,3
MR Marsh,3,0,2,1,0,7,3,1,2
N Rana,3,0,3,2,0,9,11,4,8
PP Shaw,3,0,3,4,0,15,6,3,5
R Parag,3,0,3,2,0,13,4,7,3
RA Jadeja,3,0,2,0,0,8,3,3,2
RK Singh,3,1,3,1,0,7,4,2,0
RR Pant,3,0,0,1,0,14,7,5,2
S Dhawan,3,0,1,0,0,15,10,7,4
S Dube,3,2,4,2,0,15,5,5,2
SM Curran,3,0,1,2,1,6,5,2,1
Shubman Gill,3,1,1,3,0,22,9,10,4
TM Head,3,2,0,0,0,5,1,1,2
A Manohar,2,1,0,0,0,5,4,0,2
A Raghuvanshi,2,0,0,1,0,3,0,1,0
Abishek Porel,2,0,0,0,0,5,4,1,2
Anuj Rawat,2,0,1,0,0,7,2,0,2
B Sai Sudharsan,2,0,2,1,0,9,2,1,1
DA Miller,2,1,1,1,0,11,4,4,2
DJ Hooda,2,1,2,3,0,13,8,7,3
DP Conway,2,1,1,1,0,8,4,1,1
G Coetzee,2,0,0,0,0,0,1,1,0
HC Brook,2,0,1,1,0,2,2,1,0
J Fraser-McGurk,2,0,0,0,0,3,2,0,1
JC Buttler,2,1,2,3,0,25,5,3,2
JJ Roy,2,1,1,2,0,3,0,3,1
JM Bairstow,2,1,2,4,0,11,3,1,0
JM Sharma,2,1,0,5,0,13,6,5,0
KS Bharat,2,0,0,0,0,3,1,0,1
LS Livingstone,2,2,0,3,0,12,6,4,0
Lalit Yadav,2,0,1,0,0,4,2,2,4
MK Lomror,2,2,2,0,0,8,5,3,2
MK Pandey,2,0,0,4,0,7,5,3,0
MM Ali,2,1,3,2,0,7,12,4,4
MP Stoinis,2,1,4,3,0,9,6,6,4
MS Dhoni,2,0,2,0,0,7,4,5,0
MS Wade,2,0,1,0,0,4,0,0,3
Nithish Kumar Reddy,2,1,0,1,0,3,1,1,0
P Simran Singh,2,2,3,4,0,12,1,5,1
R Ashwin,2,1,1,3,0,6,2,3,0
R Powell,2,0,3,0,0,6,5,0,3
R Ravindra,2,0,0,0,0,2,3,0,1
Rahmanullah Gurbaz,2,1,1,1,0,5,2,1,0
SN Thakur,2,0,1,0,0,6,3,4,1
Shashank Singh,2,0,0,2,0,4,1,1,0
Washington Sundar,2,0,0,2,0,4,2,3,0
A Tomar,1,0,0,0,0,0,0,0,0
AA Kulkarni,1,0,0,0,0,1,0,0,0
AJ Finch,1,0,1,0,0,2,0,1,0
AS Roy,1,1,0,0,0,1,0,0,0
Abdul Samad,1,0,0,1,0,9,6,5,0
Arshad Khan (2),1,0,0,0,0,0,0,0,0
Ashutosh Sharma,1,0,1,2,0,3,0,0,0
B Indrajith,1,1,0,0,0,1,0,0,0
B Kumar,1,0,2,0,0,1,2,3,0
C Sakariya,1,0,0,0,0,1,0,3,0
CJ Jordan,1,0,0,0,0,2,1,1,0
DJ Mitchell,1,0,3,1,0,4,1,2,1
DR Sams,1,0,0,1,0,3,2,1,0
E Lewis,1,0,0,0,0,5,0,0,2
FA Allen,1,0,0,0,0,1,0,0,0
Gulbadin Naib,1,0,0,0,0,0,0,0,0
HE van der Dussen,1,0,0,0,0,0,0,0,1
JD Unadkat,1,0,0,0,0,3,0,1,1
K Gowtham,1,0,1,0,0,1,0,0,0
K Rabada,1,1,0,0,0,3,0,0,0
KH Pandya,1,2,3,0,0,10,4,3,8
KK Ahmed,1,0,0,0,0,1,0,1,0
KR Mayers,1,0,0,2,0,4,1,1,4
KS Sharma,1,0,0,0,0,1,0,0,1
KS Williamson,1,0,0,2,0,10,1,3,0
KV Sharma,1,0,0,0,0,1,1,1,0
Kartik Tyagi,1,1,0,0,0,1,0,0,0
Kuldeep Yadav,1,0,1,0,0,1,0,0,1
M Vohra,1,0,1,0,0,2,0,1,1
MA Starc,1,0,0,0,0,1,0,0,0
MJ Santner,1,0,1,0,0,1,2,0,0
MM Sharma,1,0,0,0,0,0,0,0,0
MW Short,1,0,0,0,0,1,3,0,1
Mandeep Singh,1,0,1,2,0,2,1,0,0
Mohammad Nabi,1,0,0,0,0,3,2,0,0
N Jagadeesan,1,0,1,0,0,3,1,1,0
Naman Dhir,1,0,1,0,1,2,1,0,0
Navdeep Saini,1,0,0,0,0,0,1,0,0
PJ Cummins,1,1,0,0,0,8,1,1,0
PJ Sangwan,1,0,0,0,0,0,0,0,0
PK Garg,1,0,0,0,0,3,2,3,0
PN Mankad,1,0,0,0,0,2,0,0,0
PP Chawla,1,0,0,0,0,3,0,2,0
RD Chahar,1,0,0,0,0,6,1,3,1
RK Bhui,1,0,0,1,0,0,0,0,0
SA Abbott,1,0,0,0,0,0,0,0,0
SB Dubey,1,0,0,0,0,1,0,0,0
SD Hope,1,0,0,0,0,4,2,0,0
SE Rutherford,1,0,0,0,0,0,0,1,0
SK Raina,1,0,1,0,0,1,1,3,0
SN Khan,1,0,1,0,0,2,3,0,2
SO Hetmyer,1,0,3,1,0,9,5,3,2
SW Billings,1,0,0,0,0,2,2,2,0
Sumit Kumar,1,0,0,0,0,0,0,0,1
T Stubbs,1,0,0,0,0,3,3,2,0
TG Southee,1,0,1,0,0,1,1,1,0
TK Curran,1,0,0,0,0,0,0,0,0
YS Chahal,1,0,0,0,0,0,0,0,0
Yudhvir Singh,1,0,1,0,0,0,1,0,0
A Kamboj,0,0,0,0,0,0,0,0,0
A Mishra,0,0,0,0,0,0,0,1,0
A Nortje,0,0,1,0,0,2,0,1,0
A Zampa,0,0,0,0,0,0,1,0,0
AB de Villiers,0,0,0,3,0,3,1,0,1
AF Milne,0,0,0,0,0,0,0,2,0
AJ Hosein,0,0,0,0,0,0,0,0,0
AJ Turner,0,0,0,0,0,1,1,0,0
AS Joseph,0,0,0,0,0,0,0,1,0
AU Rashid,0,0,0,0,0,0,2,0,0
Abdul Basith,0,0,0,0,0,0,0,0,0
Akash Deep,0,0,0,1,0,0,1,0,0
Akash Madhwal,0,0,0,0,0,0,0,0,0
Aman Hakim Khan,0,0,0,1,0,4,3,0,1
