batter,bowler,total_runs_against_bowler,balls_faced,strike_rate,total_dismissals,bowled,caught,caught and bowled,lbw,stumped,performance,bowling_type
RD Gaikwad,Rashid Khan,108,66,163.6363636,2,1,1,0,0,0,Good,Right Leg Spin
JC Buttler,Yash Dayal,92,42,219.047619,0,0,0,0,0,0,Excellent,Left Fast
YBK Jaiswal,B Kumar,85,46,184.7826087,0,0,0,0,0,0,Very Good,Right Fast
Shubman Gill,R Ashwin,84,55,152.7272727,0,0,0,0,0,0,Good,Right Off Spin
F du Plessis,Ravi Bishnoi,77,46,167.3913043,0,0,0,0,0,0,Good,Right Leg Spin
KL Rahul,Mohammed Siraj,76,49,155.1020408,1,0,1,0,0,0,Good,Right Fast
Shubman Gill,K Rabada,76,55,138.1818182,2,0,2,0,0,0,Average,Right Fast
F du Plessis,TA Boult,75,62,120.9677419,2,0,2,0,0,0,Poor,Left Fast
KL Rahul,DL Chahar,73,41,178.0487805,0,0,0,0,0,0,Very Good,Right Mid Fast
N Rana,T Natarajan,73,46,158.6956522,2,0,2,0,0,0,Good,Left Mid Fast
SV Samson,Rashid Khan,72,50,144,0,0,0,0,0,0,Good,Right Leg Spin
SA Yadav,Rashid Khan,70,38,184.2105263,0,0,0,0,0,0,Very Good,Right Leg Spin
V Kohli,Avesh Khan,70,42,166.6666667,2,1,1,0,0,0,Good,Right Fast
HH Pandya,R Ashwin,69,41,168.2926829,0,0,0,0,0,0,Good,Right Off Spin
RD Gaikwad,B Kumar,69,49,140.8163265,0,0,0,0,0,0,Good,Right Fast
V Kohli,Arshdeep Singh,69,41,168.2926829,1,0,1,0,0,0,Good,Left Fast
AK Markram,CV Varun,68,39,174.3589744,2,0,2,0,0,0,Very Good,Right Leg Spin
V Kohli,Rashid Khan,68,50,136,1,0,0,0,0,1,Average,Right Leg Spin
WP Saha,DL Chahar,67,52,128.8461538,3,0,3,0,0,0,Average,Right Mid Fast
Tilak Varma,YS Chahal,66,39,169.2307692,1,0,1,0,0,0,Good,Right Leg Spin
F du Plessis,Sandeep Sharma,65,46,141.3043478,0,0,0,0,0,0,Good,Right Mid Fast
V Kohli,B Kumar,65,38,171.0526316,2,0,1,0,1,0,Very Good,Right Fast
Abhishek Sharma,Rashid Khan,63,30,210,1,0,1,0,0,0,Excellent,Right Leg Spin
HH Pandya,Ravi Bishnoi,63,30,210,0,0,0,0,0,0,Excellent,Right Leg Spin
N Pooran,CV Varun,63,41,153.6585366,2,1,1,0,0,0,Good,Right Leg Spin
