bowler,venue,matches_played,total_runs_conceded,balls_bowled,economy,total_wickets,Bowling_Strike_Rate,Performance
A Badoni,"Brabourne Stadium, Mumbai",1,6,6,6.0,1,6.0,Excellent
A Badoni,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,1,0.0,0,NA,Excellent
A Badoni,"Rajiv Gandhi International Stadium, Hyderabad",1,19,6,19.0,0,NA,Bad
A Badoni,"Sawai Mansingh Stadium, Jaipur",1,6,6,6.0,0,NA,Excellent
A Badoni,"Wankhede Stadium, Mumbai",1,6,6,6.0,1,6.0,Excellent
A Kamboj,"Eden Gardens, Kolkata",1,24,19,7.58,1,19.0,Good
A Kamboj,"Wankhede Stadium, Mumbai",2,91,49,11.14,1,49.0,Bad
A Mishra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",4,74,66,6.73,6,11.0,Excellent
A Mishra,"M.Chinnaswamy Stadium, Bengaluru",1,18,12,9.0,1,12.0,Excellent
A Mishra,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,23,12,11.5,0,NA,Bad
A Mishra,"Rajiv Gandhi International Stadium, Hyderabad",1,40,25,9.6,1,25.0,Poor
A Mishra,"Sawai Mansingh Stadium, Jaipur",1,16,12,8.0,0,NA,Average
A Nortje,"Arun Jaitley Stadium, Delhi",7,262,163,9.64,6,27.166666666666668,Poor
A Nortje,"Barsapara Cricket Stadium, Guwahati",1,44,24,11.0,0,NA,Bad
A Nortje,"Brabourne Stadium, Mumbai",1,36,27,8.0,1,27.0,Average
A Nortje,"Dr DY Patil Sports Academy, Mumbai",4,145,92,9.46,6,15.333333333333334,Good
A Nortje,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam) ,1,45,25,10.8,0,NA,Bad
A Nortje,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1,59,26,13.62,3,8.666666666666666,Excellent
A Nortje,Himachal Pradesh Cricket Association Stadium (Dharamsala),1,37,24,9.25,3,8.0,Excellent
A Nortje,"M.Chinnaswamy Stadium, Bengaluru",1,34,27,7.56,0,NA,Good
A Nortje,"Narendra Modi Stadium, Ahmedabad",1,39,26,9.0,1,26.0,Poor
A Nortje,"Rajiv Gandhi International Stadium, Hyderabad",1,33,24,8.25,2,12.0,Excellent
A Nortje,"Sawai Mansingh Stadium, Jaipur",1,50,24,12.5,1,24.0,Poor
A Nortje,"Wankhede Stadium, Mumbai",2,103,52,11.88,4,13.0,Good
A Zampa,Himachal Pradesh Cricket Association Stadium (Dharamsala),1,26,24,6.5,1,24.0,Excellent
A Zampa,"MA Chidambaram Stadium, Chennai",1,43,25,10.32,1,25.0,Bad
A Zampa,"Narendra Modi Stadium, Ahmedabad",1,32,24,8.0,2,12.0,Excellent
A Zampa,"Sawai Mansingh Stadium, Jaipur",3,88,60,8.8,5,12.0,Excellent
AD Russell,"Arun Jaitley Stadium, Delhi",1,12,7,10.29,0,NA,Bad
AD Russell,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,18,15,7.2,2,7.5,Excellent
AD Russell,"Brabourne Stadium, Mumbai",3,69,38,10.89,4,9.5,Excellent
AD Russell,"Dr DY Patil Sports Academy, Mumbai",4,108,55,11.78,8,6.875,Excellent
AD Russell,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1,14,8,10.5,1,8.0,Excellent
AD Russell,"Eden Gardens, Kolkata",12,267,138,11.61,12,11.5,Excellent
AD Russell,"M.Chinnaswamy Stadium, Bengaluru",2,59,49,7.22,4,12.25,Good
AD Russell,"MA Chidambaram Stadium, Chennai",2,27,23,7.04,3,7.666666666666667,Excellent
AD Russell,"Maharashtra Cricket Association Stadium, Pune",3,53,51,6.24,5,10.2,Excellent
AD Russell,"Narendra Modi Stadium, Ahmedabad",1,15,9,10.0,1,9.0,Excellent
AD Russell,"Rajiv Gandhi International Stadium, Hyderabad",1,15,7,12.86,1,7.0,Excellent
AD Russell,"Wankhede Stadium, Mumbai",5,102,63,9.71,6,10.5,Excellent
AF Milne,"Wankhede Stadium, Mumbai",1,19,15,7.6,0,NA,Good
AJ Hosein,"Arun Jaitley Stadium, Delhi",1,41,24,10.25,1,24.0,Poor
AJ Tye,"Brabourne Stadium, Mumbai",1,42,25,10.08,3,8.333333333333334,Excellent
AJ Tye,"Dr DY Patil Sports Academy, Mumbai",2,71,44,9.68,0,NA,Poor
AK Markram,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,14,12,7.0,0,NA,Good
AK Markram,"Brabourne Stadium, Mumbai",1,11,6,11.0,0,NA,Bad
AK Markram,"Dr DY Patil Sports Academy, Mumbai",2,17,12,8.5,1,12.0,Excellent
AK Markram,"MA Chidambaram Stadium, Chennai",3,26,19,8.21,0,NA,Average
AK Markram,"Maharashtra Cricket Association Stadium, Pune",1,36,18,12.0,0,NA,Bad
AK Markram,"Narendra Modi Stadium, Ahmedabad",1,13,6,13.0,0,NA,Bad
AK Markram,"Rajiv Gandhi International Stadium, Hyderabad",2,32,24,8.0,1,24.0,Average
AK Markram,"Wankhede Stadium, Mumbai",1,1,1,6.0,0,NA,Excellent
AR Patel,"Arun Jaitley Stadium, Delhi",11,270,209,7.75,8,26.125,Good
AR Patel,"Barsapara Cricket Stadium, Guwahati",1,38,24,9.5,0,NA,Poor
AR Patel,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,65,48,8.12,1,48.0,Average
AR Patel,"Brabourne Stadium, Mumbai",3,84,66,7.64,2,33.0,Good
AR Patel,"Dr DY Patil Sports Academy, Mumbai",4,73,66,6.64,2,33.0,Excellent
AR Patel,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam) ,1,20,18,6.67,1,18.0,Excellent
AR Patel,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1,19,6,19.0,0,NA,Bad
AR Patel,"Eden Gardens, Kolkata",1,25,24,6.25,2,12.0,Excellent
AR Patel,Himachal Pradesh Cricket Association Stadium (Dharamsala),1,27,18,9.0,1,18.0,Average
AR Patel,"M.Chinnaswamy Stadium, Bengaluru",2,49,36,8.17,1,36.0,Average
AR Patel,"MA Chidambaram Stadium, Chennai",1,27,24,6.75,2,12.0,Excellent
AR Patel,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,26,24,6.5,0,NA,Excellent
AR Patel,"Maharashtra Cricket Association Stadium, Pune",1,37,24,9.25,0,NA,Poor
AR Patel,"Narendra Modi Stadium, Ahmedabad",2,41,50,4.92,1,50.0,Excellent
AR Patel,"Rajiv Gandhi International Stadium, Hyderabad",1,21,24,5.25,2,12.0,Excellent
AR Patel,"Sawai Mansingh Stadium, Jaipur",1,21,24,5.25,1,24.0,Excellent
AR Patel,"Wankhede Stadium, Mumbai",6,164,129,7.63,4,32.25,Good
AS Joseph,"Arun Jaitley Stadium, Delhi",1,29,25,6.96,2,12.5,Excellent
AS Joseph,"Brabourne Stadium, Mumbai",2,85,49,10.41,2,24.5,Bad
AS Joseph,"Dr DY Patil Sports Academy, Mumbai",2,58,44,7.91,1,44.0,Good
AS Joseph,"Eden Gardens, Kolkata",1,27,12,13.5,0,NA,Bad
AS Joseph,"M.Chinnaswamy Stadium, Bengaluru",2,77,38,12.16,1,38.0,Bad
AS Joseph,"MA Chidambaram Stadium, Chennai",1,46,26,10.62,0,NA,Bad
AS Joseph,"Maharashtra Cricket Association Stadium, Pune",2,48,37,7.78,2,18.5,Good
AS Joseph,"Narendra Modi Stadium, Ahmedabad",4,113,72,9.42,4,18.0,Average
AS Joseph,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,32,29,6.62,1,29.0,Excellent
AS Joseph,"Wankhede Stadium, Mumbai",3,103,67,9.22,3,22.33333333333333,Poor
AS Roy,"Arun Jaitley Stadium, Delhi",1,19,26,4.38,2,13.0,Excellent
AS Roy,"Eden Gardens, Kolkata",2,56,18,18.67,1,18.0,Average
AS Roy,"M.Chinnaswamy Stadium, Bengaluru",1,6,12,3.0,0,NA,Excellent
AS Roy,"MA Chidambaram Stadium, Chennai",1,18,10,10.8,0,NA,Bad
AS Roy,"Maharashtra Cricket Association Stadium, Pune",1,27,18,9.0,0,NA,Poor
AS Roy,"Rajiv Gandhi International Stadium, Hyderabad",1,26,19,8.21,1,19.0,Average
AS Roy,"Wankhede Stadium, Mumbai",1,28,24,7.0,1,24.0,Good
AU Rashid,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,23,18,7.67,2,9.0,Excellent
AU Rashid,"Rajiv Gandhi International Stadium, Hyderabad",1,33,24,8.25,0,NA,Average
Abdul Samad,"Dr DY Patil Sports Academy, Mumbai",1,8,6,8.0,0,NA,Average
Abhishek Sharma,"Arun Jaitley Stadium, Delhi",1,26,18,8.67,1,18.0,Average
Abhishek Sharma,"M.Chinnaswamy Stadium, Bengaluru",1,10,6,10.0,0,NA,Bad
Abhishek Sharma,"MA Chidambaram Stadium, Chennai",1,24,24,6.0,2,12.0,Excellent
Abhishek Sharma,"Maharashtra Cricket Association Stadium, Pune",1,15,6,15.0,0,NA,Bad
Abhishek Sharma,"Narendra Modi Stadium, Ahmedabad",1,13,7,11.14,0,NA,Bad
Abhishek Sharma,"Rajiv Gandhi International Stadium, Hyderabad",4,89,50,10.68,1,50.0,Bad
Abhishek Sharma,"Sawai Mansingh Stadium, Jaipur",1,16,12,8.0,0,NA,Average
Abhishek Sharma,"Wankhede Stadium, Mumbai",2,24,18,8.0,0,NA,Average
Akash Deep,"Dr DY Patil Sports Academy, Mumbai",3,142,70,12.17,4,17.5,Average
Akash Deep,"Eden Gardens, Kolkata",1,34,15,13.6,0,NA,Bad
Akash Deep,"M.Chinnaswamy Stadium, Bengaluru",1,29,18,9.67,1,18.0,Average
Akash Deep,"Maharashtra Cricket Association Stadium, Pune",1,20,24,5.0,2,12.0,Excellent
Akash Deep,"Wankhede Stadium, Mumbai",2,99,48,12.38,1,48.0,Bad
Akash Madhwal,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,31,26,7.15,0,NA,Good
Akash Madhwal,"MA Chidambaram Stadium, Chennai",2,10,27,2.22,7,3.857142857142857,Excellent
Akash Madhwal,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,48,24,12.0,2,12.0,Excellent
Akash Madhwal,"Narendra Modi Stadium, Ahmedabad",1,52,26,12.0,2,13.0,Good
Akash Madhwal,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,37,19,11.68,0,NA,Bad
Akash Madhwal,"Wankhede Stadium, Mumbai",7,253,157,9.67,11,14.272727272727272,Good
Akash Singh,"Eden Gardens, Kolkata",1,29,25,6.96,1,25.0,Excellent
Akash Singh,"M.Chinnaswamy Stadium, Bengaluru",1,35,18,11.67,1,18.0,Average
Akash Singh,"MA Chidambaram Stadium, Chennai",3,92,62,8.9,3,20.666666666666668,Average
Akash Singh,"Sawai Mansingh Stadium, Jaipur",1,32,12,16.0,0,NA,Bad
Aman Hakim Khan,"Brabourne Stadium, Mumbai",1,13,6,13.0,0,NA,Bad
Arjun Tendulkar,"Narendra Modi Stadium, Ahmedabad",1,9,12,4.5,1,12.0,Excellent
Arjun Tendulkar,"Rajiv Gandhi International Stadium, Hyderabad",1,20,20,6.0,2,10.0,Excellent
Arjun Tendulkar,"Wankhede Stadium, Mumbai",3,88,51,10.35,1,51.0,Bad
Arshad Khan,"Arun Jaitley Stadium, Delhi",2,57,30,11.4,1,30.0,Bad
Arshad Khan,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,34,19,10.74,0,NA,Bad
Arshad Khan,"M.Chinnaswamy Stadium, Bengaluru",1,29,18,9.67,1,18.0,Average
Arshad Khan,"MA Chidambaram Stadium, Chennai",1,28,10,16.8,0,NA,Bad
Arshad Khan,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,48,25,11.52,1,25.0,Bad
Arshad Khan,"Wankhede Stadium, Mumbai",3,86,51,10.12,3,17.0,Average
Arshad Khan (2),"Eden Gardens, Kolkata",1,25,13,11.54,0,NA,Bad
Arshdeep Singh,"Arun Jaitley Stadium, Delhi",1,32,24,8.0,0,NA,Average
Arshdeep Singh,"Barsapara Cricket Stadium, Guwahati",2,79,51,9.29,3,17.0,Average
Arshdeep Singh,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,53,38,8.37,3,12.666666666666666,Average
Arshdeep Singh,"Brabourne Stadium, Mumbai",4,89,71,7.52,2,35.5,Good
Arshdeep Singh,"Dr DY Patil Sports Academy, Mumbai",4,146,104,8.42,5,20.8,Average
Arshdeep Singh,"Eden Gardens, Kolkata",2,84,54,9.33,3,18.0,Average
Arshdeep Singh,Himachal Pradesh Cricket Association Stadium (Dharamsala),4,146,86,10.19,4,21.5,Poor
