Player,Runs,Balls_Faced,Fours,Sixes,Not_Outs,Dismissals,Batting_Average,Strike_Rate,Wickets,Overs_Bowled,Runs_Conceded,Economy,Bowling_Strike_Rate,Bowling_Average,Catches,Stumpings,Run_Outs,Matches_Played
A Badoni,634.0,505.0,46.0,24.0,False,26.0,24.38,125.54,2.0,4.0,37.0,9.25,12.0,18.5,13.0,0.0,1.0,49
A Kamboj,2.0,2.0,0.0,0.0,True,0.0,2.0,NA,2.0,9.0,115.0,12.78,27.0,57.5,3.0,0.0,0.0,4
A Manohar,231.0,181.0,21.0,10.0,False,14.0,16.5,127.62,NA,NA,NA,NA,NA,NA,10.0,0.0,1.0,22
A Mishra,19.0,30.0,2.0,0.0,False,1.0,19.0,NA,14.0,14.0,280.0,20.0,6.0,20.0,1.0,0.0,1.0,12
A Nortje,42.0,45.0,6.0,0.0,False,4.0,10.5,NA,39.0,19.0,1085.0,57.11,2.92,27.82,5.0,0.0,0.0,34
A Raghuvanshi,163.0,109.0,16.0,8.0,False,7.0,23.29,149.54,NA,NA,NA,NA,NA,NA,4.0,0.0,0.0,10
A Tomar,4.0,8.0,1.0,0.0,False,1.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
A Zampa,10.0,17.0,0.0,0.0,False,3.0,3.33,NA,9.0,17.0,189.0,11.12,11.33,21.0,NA,NA,NA,8
AA Kulkarni,9.0,8.0,2.0,0.0,False,2.0,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
AB de Villiers,313.0,215.0,23.0,16.0,False,11.0,28.45,145.58,NA,NA,NA,NA,NA,NA,15.0,0.0,0.0,21
AD Russell,967.0,630.0,65.0,80.0,False,33.0,29.3,153.49,58.0,18.0,948.0,52.67,1.86,16.34,12.0,0.0,1.0,78
AF Milne,16.0,19.0,0.0,1.0,False,2.0,8.0,NA,4.0,10.0,154.0,15.4,15.0,38.5,2.0,0.0,0.0,8
AJ Finch,86.0,70.0,10.0,3.0,False,6.0,14.33,122.86,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,6
AJ Hosein,16.0,11.0,1.0,1.0,True,0.0,16.0,NA,1.0,4.0,41.0,10.25,24.0,41.0,NA,NA,NA,1
AJ Turner,21.0,20.0,0.0,2.0,False,2.0,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
AK Markram,995.0,787.0,73.0,35.0,False,33.0,30.15,126.43,2.0,13.0,173.0,13.31,39.0,86.5,24.0,0.0,0.0,61
AM Rahane,709.0,533.0,63.0,27.0,False,31.0,22.87,133.02,NA,NA,NA,NA,NA,NA,12.0,0.0,2.0,38
AR Patel,740.0,573.0,54.0,36.0,False,27.0,27.41,129.14,44.0,17.0,1322.0,77.76,2.32,30.05,30.0,0.0,0.0,83
AS Joseph,12.0,19.0,1.0,0.0,False,1.0,12.0,NA,16.0,18.0,618.0,34.33,6.75,38.62,3.0,0.0,1.0,23
AS Roy,26.0,24.0,3.0,0.0,False,3.0,8.67,NA,5.0,11.0,180.0,16.36,13.2,36.0,5.0,0.0,1.0,16
AT Rayudu,689.0,520.0,51.0,41.0,False,29.0,23.76,132.5,NA,NA,NA,NA,NA,NA,8.0,0.0,1.0,44
AU Rashid,22.0,17.0,2.0,1.0,False,2.0,11.0,NA,2.0,6.0,91.0,15.17,18.0,45.5,NA,NA,NA,3
Abdul Basith,1.0,1.0,0.0,0.0,True,0.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Abdul Samad,466.0,340.0,29.0,30.0,False,26.0,17.92,137.06,1.0,2.0,17.0,8.5,12.0,17.0,22.0,0.0,0.0,46
Abhishek Sharma,1234.0,821.0,118.0,65.0,False,47.0,26.26,150.3,8.0,12.0,283.0,23.58,9.0,35.38,14.0,0.0,0.0,67
Abishek Porel,360.0,244.0,37.0,15.0,False,16.0,22.5,147.54,NA,NA,NA,NA,NA,NA,6.0,0.0,1.0,16
Akash Deep,19.0,12.0,2.0,1.0,False,2.0,9.5,NA,8.0,16.0,324.0,20.25,12.0,40.5,2.0,0.0,0.0,10
Akash Madhwal,4.0,5.0,0.0,0.0,True,0.0,4.0,NA,22.0,18.0,431.0,23.94,4.91,19.59,1.0,0.0,0.0,13
Aman Hakim Khan,115.0,109.0,8.0,6.0,False,9.0,12.78,105.5,0.0,1.0,13.0,13.0,NA,NA,9.0,0.0,0.0,15
Anmolpreet Singh,139.0,117.0,19.0,3.0,False,9.0,15.44,118.8,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,9
Anuj Rawat,318.0,276.0,26.0,14.0,False,14.0,22.71,115.22,NA,NA,NA,NA,NA,NA,18.0,0.0,2.0,32
Arjun Tendulkar,13.0,9.0,0.0,1.0,False,1.0,13.0,NA,4.0,8.0,117.0,14.62,12.0,29.25,NA,NA,NA,5
Arshad Khan,96.0,67.0,5.0,6.0,False,4.0,24.0,143.28,6.0,12.0,282.0,23.5,12.0,47.0,2.0,0.0,0.0,11
Arshad Khan (2),5.0,4.0,1.0,0.0,False,1.0,5.0,NA,0.0,2.0,25.0,12.5,NA,NA,NA,NA,NA,2
Arshdeep Singh,29.0,39.0,4.0,0.0,False,4.0,7.25,NA,70.0,20.0,1761.0,88.05,1.71,25.16,7.0,0.0,0.0,62
Ashutosh Sharma,189.0,118.0,10.0,15.0,False,8.0,23.62,160.17,NA,NA,NA,NA,NA,NA,2.0,0.0,0.0,11
Atharva Taide,247.0,177.0,27.0,8.0,False,8.0,30.88,139.55,0.0,1.0,4.0,4.0,NA,NA,5.0,0.0,0.0,11
Avesh Khan,37.0,22.0,2.0,3.0,False,1.0,37.0,NA,76.0,20.0,1709.0,85.45,1.58,22.49,6.0,0.0,0.0,59
Azmatullah Omarzai,42.0,34.0,2.0,2.0,False,4.0,10.5,NA,4.0,6.0,194.0,32.33,9.0,48.5,NA,NA,NA,11
B Indrajith,21.0,31.0,2.0,0.0,False,3.0,7.0,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,1.0,5
B Kumar,123.0,139.0,13.0,0.0,False,10.0,12.3,88.49,49.0,15.0,1718.0,114.53,1.84,35.06,5.0,0.0,1.0,72
B Sai Sudharsan,1034.0,770.0,95.0,32.0,False,21.0,49.24,134.29,NA,NA,NA,NA,NA,NA,3.0,0.0,0.0,27
BA Stokes,15.0,18.0,2.0,0.0,False,3.0,5.0,NA,0.0,2.0,30.0,15.0,NA,NA,3.0,0.0,0.0,3
