Player,Venue,Predicted Performance
A Badoni,"Arun Jaitley Stadium, Delhi",Bad
A Nortje,"Arun Jaitley Stadium, Delhi",Bad
AD Russell,"Arun Jaitley Stadium, Delhi",Good
AJ Hosein,"Arun Jaitley Stadium, Delhi",Poor
AK Markram,"Arun Jaitley Stadium, Delhi",Bad
AR Patel,"Arun Jaitley Stadium, Delhi",Average
AS Roy,"Arun Jaitley Stadium, Delhi",Bad
Abdul Samad,"Arun Jaitley Stadium, Delhi",Average
Abhishek Sharma,"Arun Jaitley Stadium, Delhi",Excellent
Abishek Porel,"Arun Jaitley Stadium, Delhi",Good
Aman Hakim Khan,"Arun Jaitley Stadium, Delhi",Bad
Anuj Rawat,"Arun Jaitley Stadium, Delhi",Bad
Arshad Khan,"Arun Jaitley Stadium, Delhi",Excellent
Avesh Khan,"Arun Jaitley Stadium, Delhi",Bad
Azmatullah Omarzai,"Arun Jaitley Stadium, Delhi",Bad
B Sai Sudharsan,"Arun Jaitley Stadium, Delhi",Excellent
C Green,"Arun Jaitley Stadium, Delhi",Poor
C Sakariya,"Arun Jaitley Stadium, Delhi",Bad
CV Varun,"Arun Jaitley Stadium, Delhi",Bad
D Ferreira,"Arun Jaitley Stadium, Delhi",Bad
DA Miller,"Arun Jaitley Stadium, Delhi",Excellent
DA Warner,"Arun Jaitley Stadium, Delhi",Good
DJ Hooda,"Arun Jaitley Stadium, Delhi",Bad
DP Conway,"Arun Jaitley Stadium, Delhi",Excellent
F du Plessis,"Arun Jaitley Stadium, Delhi",Excellent
GJ Maxwell,"Arun Jaitley Stadium, Delhi",Bad
Gulbadin Naib,"Arun Jaitley Stadium, Delhi",Poor
H Klaasen,"Arun Jaitley Stadium, Delhi",Good
HC Brook,"Arun Jaitley Stadium, Delhi",Bad
HH Pandya,"Arun Jaitley Stadium, Delhi",Average
Harpreet Brar,"Arun Jaitley Stadium, Delhi",Bad
Ishan Kishan,"Arun Jaitley Stadium, Delhi",Average
J Fraser-McGurk,"Arun Jaitley Stadium, Delhi",Excellent
JC Buttler,"Arun Jaitley Stadium, Delhi",Poor
JJ Roy,"Arun Jaitley Stadium, Delhi",Excellent
JM Sharma,"Arun Jaitley Stadium, Delhi",Bad
KD Karthik,"Arun Jaitley Stadium, Delhi",Poor
KH Pandya,"Arun Jaitley Stadium, Delhi",Poor
KL Rahul,"Arun Jaitley Stadium, Delhi",Bad
Kuldeep Yadav,"Arun Jaitley Stadium, Delhi",Bad
L Wood,"Arun Jaitley Stadium, Delhi",Bad
LS Livingstone,"Arun Jaitley Stadium, Delhi",Bad
Lalit Yadav,"Arun Jaitley Stadium, Delhi",Bad
Liton Das,"Arun Jaitley Stadium, Delhi",Bad
M Shahrukh Khan,"Arun Jaitley Stadium, Delhi",Bad
MA Agarwal,"Arun Jaitley Stadium, Delhi",Bad
MK Lomror,"Arun Jaitley Stadium, Delhi",Excellent
MK Pandey,"Arun Jaitley Stadium, Delhi",Poor
MP Stoinis,"Arun Jaitley Stadium, Delhi",Bad
MR Marsh,"Arun Jaitley Stadium, Delhi",Poor
MS Dhoni,"Arun Jaitley Stadium, Delhi",Bad
Mandeep Singh,"Arun Jaitley Stadium, Delhi",Poor
Mohammad Nabi,"Arun Jaitley Stadium, Delhi",Bad
Mukesh Kumar,"Arun Jaitley Stadium, Delhi",Bad
Mustafizur Rahman,"Arun Jaitley Stadium, Delhi",Bad
N Pooran,"Arun Jaitley Stadium, Delhi",Excellent
N Rana,"Arun Jaitley Stadium, Delhi",Bad
N Wadhera,"Arun Jaitley Stadium, Delhi",Bad
Naveen-ul-Haq,"Arun Jaitley Stadium, Delhi",Bad
Nithish Kumar Reddy,"Arun Jaitley Stadium, Delhi",Good
P Dubey,"Arun Jaitley Stadium, Delhi",Poor
P Simran Singh,"Arun Jaitley Stadium, Delhi",Excellent
PD Salt,"Arun Jaitley Stadium, Delhi",Good
PJ Cummins,"Arun Jaitley Stadium, Delhi",Bad
PK Garg,"Arun Jaitley Stadium, Delhi",Poor
PP Chawla,"Arun Jaitley Stadium, Delhi",Poor
PP Shaw,"Arun Jaitley Stadium, Delhi",Poor
Q de Kock,"Arun Jaitley Stadium, Delhi",Poor
R Ashwin,"Arun Jaitley Stadium, Delhi",Bad
R Parag,"Arun Jaitley Stadium, Delhi",Average
R Powell,"Arun Jaitley Stadium, Delhi",Bad
R Sai Kishore,"Arun Jaitley Stadium, Delhi",Poor
R Tewatia,"Arun Jaitley Stadium, Delhi",Bad
RA Jadeja,"Arun Jaitley Stadium, Delhi",Average
RA Tripathi,"Arun Jaitley Stadium, Delhi",Poor
RD Gaikwad,"Arun Jaitley Stadium, Delhi",Excellent
RG Sharma,"Arun Jaitley Stadium, Delhi",Good
RK Singh,"Arun Jaitley Stadium, Delhi",Bad
RR Pant,"Arun Jaitley Stadium, Delhi",Excellent
RR Rossouw,"Arun Jaitley Stadium, Delhi",Poor
RV Patel,"Arun Jaitley Stadium, Delhi",Poor
Rashid Khan,"Arun Jaitley Stadium, Delhi",Average
Rasikh Salam,"Arun Jaitley Stadium, Delhi",Bad
Ravi Bishnoi,"Arun Jaitley Stadium, Delhi",Bad
S Dhawan,"Arun Jaitley Stadium, Delhi",Bad
