batter,venue,total_runs,matches_played,batting_average,Performance
A Badoni,"Arun Jaitley Stadium, Delhi",6,1,6.0,Bad
A Badoni,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",216,11,19.63636363636364,Poor
A Badoni,"Brabourne Stadium, Mumbai",19,2,9.5,Bad
A Badoni,"Dr DY Patil Sports Academy, Mumbai",42,3,14.0,Poor
A Badoni,"Eden Gardens, Kolkata",54,2,27.0,Average
A Badoni,"M.Chinnaswamy Stadium, Bengaluru",30,2,15.0,Poor
A Badoni,"MA Chidambaram Stadium, Chennai",24,2,12.0,Poor
A Badoni,"Maharashtra Cricket Association Stadium, Pune",27,3,9.0,Bad
A Badoni,"Narendra Modi Stadium, Ahmedabad",21,1,21.0,Average
A Badoni,"Punjab Cricket Association IS Bindra Stadium, Mohali",43,1,43.0,Excellent
A Badoni,"Rajiv Gandhi International Stadium, Hyderabad",55,1,55.0,Excellent
A Badoni,"Sawai Mansingh Stadium, Jaipur",2,2,1.0,Bad
A Badoni,"Wankhede Stadium, Mumbai",95,4,23.75,Average
A Kamboj,"Eden Gardens, Kolkata",2,1,2.0,Bad
A Manohar,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",3,1,3.0,Bad
A Manohar,"Dr DY Patil Sports Academy, Mumbai",80,3,26.666666666666668,Average
A Manohar,"Maharashtra Cricket Association Stadium, Pune",13,2,6.5,Bad
A Manohar,"Narendra Modi Stadium, Ahmedabad",117,5,23.4,Average
A Manohar,"Sawai Mansingh Stadium, Jaipur",1,1,1.0,Bad
A Manohar,"Wankhede Stadium, Mumbai",17,3,5.666666666666667,Bad
A Mishra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",19,1,19.0,Poor
A Nortje,"Arun Jaitley Stadium, Delhi",9,4,2.25,Bad
A Nortje,"Barsapara Cricket Stadium, Guwahati",0,1,0.0,Bad
A Nortje,"Dr DY Patil Sports Academy, Mumbai",1,1,1.0,Bad
A Nortje,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),4,1,4.0,Bad
A Nortje,"M.Chinnaswamy Stadium, Bengaluru",23,1,23.0,Average
A Nortje,"Narendra Modi Stadium, Ahmedabad",3,1,3.0,Bad
A Nortje,"Rajiv Gandhi International Stadium, Hyderabad",2,1,2.0,Bad
A Raghuvanshi,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",32,1,32.0,Good
A Raghuvanshi,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),54,1,54.0,Excellent
A Raghuvanshi,"Eden Gardens, Kolkata",40,3,13.333333333333334,Poor
A Raghuvanshi,"MA Chidambaram Stadium, Chennai",24,1,24.0,Average
A Raghuvanshi,"Wankhede Stadium, Mumbai",13,1,13.0,Poor
A Tomar,"Dr DY Patil Sports Academy, Mumbai",4,1,4.0,Bad
A Zampa,"MA Chidambaram Stadium, Chennai",1,1,1.0,Bad
A Zampa,"Sawai Mansingh Stadium, Jaipur",9,2,4.5,Bad
AA Kulkarni,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",9,2,4.5,Bad
AD Russell,"Arun Jaitley Stadium, Delhi",38,1,38.0,Good
AD Russell,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",12,1,12.0,Poor
AD Russell,"Brabourne Stadium, Mumbai",73,3,24.33333333333333,Average
AD Russell,"Dr DY Patil Sports Academy, Mumbai",87,4,21.75,Average
AD Russell,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),41,1,41.0,Excellent
AD Russell,"Eden Gardens, Kolkata",257,12,21.416666666666668,Average
AD Russell,"M.Chinnaswamy Stadium, Bengaluru",1,1,1.0,Bad
AD Russell,"MA Chidambaram Stadium, Chennai",12,2,6.0,Bad
AD Russell,"Maharashtra Cricket Association Stadium, Pune",105,3,35.0,Good
AD Russell,"Narendra Modi Stadium, Ahmedabad",1,1,1.0,Bad
AD Russell,"Punjab Cricket Association IS Bindra Stadium, Mohali",35,1,35.0,Good
AD Russell,"Rajiv Gandhi International Stadium, Hyderabad",24,1,24.0,Average
AD Russell,"Wankhede Stadium, Mumbai",98,4,24.5,Average
AJ Finch,"Brabourne Stadium, Mumbai",65,2,32.5,Good
AJ Finch,"Maharashtra Cricket Association Stadium, Pune",14,1,14.0,Poor
AJ Finch,"Wankhede Stadium, Mumbai",7,2,3.5,Bad
AJ Hosein,"Arun Jaitley Stadium, Delhi",16,1,16.0,Poor
AJ Turner,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",21,2,10.5,Poor
AK Markram,"Arun Jaitley Stadium, Delhi",9,2,4.5,Bad
AK Markram,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,1,0.0,Bad
AK Markram,"Brabourne Stadium, Mumbai",110,2,55.0,Excellent
AK Markram,"Dr DY Patil Sports Academy, Mumbai",65,3,21.666666666666668,Average
AK Markram,"Eden Gardens, Kolkata",68,2,34.0,Good
AK Markram,"M.Chinnaswamy Stadium, Bengaluru",32,1,32.0,Good
AK Markram,"MA Chidambaram Stadium, Chennai",65,4,16.25,Poor
AK Markram,Maharaja Yadavindra Singh International Cricket St (Mullanpur),0,1,0.0,Bad
AK Markram,"Maharashtra Cricket Association Stadium, Pune",106,3,35.333333333333336,Good
AK Markram,"Narendra Modi Stadium, Ahmedabad",27,2,13.5,Poor
AK Markram,"Rajiv Gandhi International Stadium, Hyderabad",248,9,27.55555555555556,Average
AK Markram,"Sawai Mansingh Stadium, Jaipur",6,1,6.0,Bad
AK Markram,"Wankhede Stadium, Mumbai",113,5,22.6,Average
AM Rahane,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",36,1,36.0,Good
AM Rahane,"Brabourne Stadium, Mumbai",8,1,8.0,Bad
AM Rahane,"Dr DY Patil Sports Academy, Mumbai",34,2,17.0,Poor
AM Rahane,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam) ,45,1,45.0,Excellent
AM Rahane,"Eden Gardens, Kolkata",71,1,71.0,Excellent
AM Rahane,Himachal Pradesh Cricket Association Stadium (Dharamsala),9,1,9.0,Bad
AM Rahane,"M.Chinnaswamy Stadium, Bengaluru",70,2,35.0,Good
AM Rahane,"MA Chidambaram Stadium, Chennai",193,11,17.545454545454547,Poor
AM Rahane,"Maharashtra Cricket Association Stadium, Pune",35,2,17.5,Poor
AM Rahane,"Narendra Modi Stadium, Ahmedabad",28,2,14.0,Poor
AM Rahane,"Rajiv Gandhi International Stadium, Hyderabad",35,1,35.0,Good
AM Rahane,"Sawai Mansingh Stadium, Jaipur",15,1,15.0,Poor
AM Rahane,"Wankhede Stadium, Mumbai",122,4,30.5,Good
AR Patel,"Arun Jaitley Stadium, Delhi",274,12,22.83333333333333,Average
AR Patel,"Barsapara Cricket Stadium, Guwahati",2,1,2.0,Bad
AR Patel,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",16,1,16.0,Poor
AR Patel,"Brabourne Stadium, Mumbai",60,2,30.0,Good
AR Patel,"Dr DY Patil Sports Academy, Mumbai",18,2,9.0,Bad
AR Patel,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),0,1,0.0,Bad
AR Patel,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam) ,7,1,7.0,Bad
AR Patel,"Eden Gardens, Kolkata",15,1,15.0,Poor
AR Patel,"M.Chinnaswamy Stadium, Bengaluru",78,2,39.0,Good
AR Patel,"MA Chidambaram Stadium, Chennai",21,1,21.0,Average
AR Patel,Maharaja Yadavindra Singh International Cricket St (Mullanpur),21,1,21.0,Average
AR Patel,"Maharashtra Cricket Association Stadium, Pune",8,1,8.0,Bad
AR Patel,"Narendra Modi Stadium, Ahmedabad",27,1,27.0,Average
AR Patel,"Rajiv Gandhi International Stadium, Hyderabad",34,1,34.0,Good
AR Patel,"Sawai Mansingh Stadium, Jaipur",15,1,15.0,Poor
AR Patel,"Wankhede Stadium, Mumbai",104,6,17.333333333333332,Poor
AS Joseph,"Dr DY Patil Sports Academy, Mumbai",5,2,2.5,Bad
AS Joseph,"Maharashtra Cricket Association Stadium, Pune",0,1,0.0,Bad
AS Joseph,"Wankhede Stadium, Mumbai",7,1,7.0,Bad
AS Roy,"Arun Jaitley Stadium, Delhi",0,1,0.0,Bad
AS Roy,"Eden Gardens, Kolkata",6,1,6.0,Bad
AS Roy,"MA Chidambaram Stadium, Chennai",3,1,3.0,Bad
AS Roy,"Maharashtra Cricket Association Stadium, Pune",0,1,0.0,Bad
AS Roy,"Punjab Cricket Association IS Bindra Stadium, Mohali",4,1,4.0,Bad
AS Roy,"Rajiv Gandhi International Stadium, Hyderabad",13,1,13.0,Poor
AT Rayudu,"Brabourne Stadium, Mumbai",43,3,14.333333333333334,Poor
AT Rayudu,"Dr DY Patil Sports Academy, Mumbai",72,3,24.0,Average
AT Rayudu,"M.Chinnaswamy Stadium, Bengaluru",14,1,14.0,Poor
AT Rayudu,"MA Chidambaram Stadium, Chennai",93,7,13.285714285714286,Poor
AT Rayudu,"Maharashtra Cricket Association Stadium, Pune",56,2,28.0,Average
AT Rayudu,"Narendra Modi Stadium, Ahmedabad",31,2,15.5,Poor
AT Rayudu,"Sawai Mansingh Stadium, Jaipur",0,1,0.0,Bad
AT Rayudu,"Wankhede Stadium, Mumbai",123,4,30.75,Good
AU Rashid,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",4,1,4.0,Bad
AU Rashid,"Rajiv Gandhi International Stadium, Hyderabad",18,1,18.0,Poor
Abdul Basith,"M.Chinnaswamy Stadium, Bengaluru",1,1,1.0,Bad
Abdul Samad,"Arun Jaitley Stadium, Delhi",41,2,20.5,Average
Abdul Samad,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",21,1,21.0,Average
Abdul Samad,"Dr DY Patil Sports Academy, Mumbai",0,1,0.0,Bad
Abdul Samad,"Eden Gardens, Kolkata",15,1,15.0,Poor
Abdul Samad,"M.Chinnaswamy Stadium, Bengaluru",37,1,37.0,Good
Abdul Samad,"MA Chidambaram Stadium, Chennai",23,3,7.666666666666667,Bad
Abdul Samad,Maharaja Yadavindra Singh International Cricket St (Mullanpur),25,1,25.0,Average
Abdul Samad,"Maharashtra Cricket Association Stadium, Pune",4,1,4.0,Bad
Abdul Samad,"Narendra Modi Stadium, Ahmedabad",49,3,16.333333333333332,Poor
Abdul Samad,"Rajiv Gandhi International Stadium, Hyderabad",120,6,20.0,Average
Abdul Samad,"Sawai Mansingh Stadium, Jaipur",17,1,17.0,Poor
Abdul Samad,"Wankhede Stadium, Mumbai",3,1,3.0,Bad
Abhishek Sharma,"Arun Jaitley Stadium, Delhi",113,2,56.5,Excellent
Abhishek Sharma,"Brabourne Stadium, Mumbai",57,3,19.0,Poor
Abhishek Sharma,"Dr DY Patil Sports Academy, Mumbai",161,4,40.25,Excellent
Abhishek Sharma,"Eden Gardens, Kolkata",64,2,32.0,Good
Abhishek Sharma,"M.Chinnaswamy Stadium, Bengaluru",34,1,34.0,Good
Abhishek Sharma,"MA Chidambaram Stadium, Chennai",63,4,15.75,Poor
Abhishek Sharma,Maharaja Yadavindra Singh International Cricket St (Mullanpur),16,1,16.0,Poor
Abhishek Sharma,"Maharashtra Cricket Association Stadium, Pune",91,3,30.33333333333333,Good
Abhishek Sharma,"Narendra Modi Stadium, Ahmedabad",37,3,12.333333333333334,Poor
Abhishek Sharma,"Rajiv Gandhi International Stadium, Hyderabad",317,12,26.416666666666668,Average
Abhishek Sharma,"Sawai Mansingh Stadium, Jaipur",55,1,55.0,Excellent
Abhishek Sharma,"Wankhede Stadium, Mumbai",128,5,25.6,Average
Abishek Porel,"Arun Jaitley Stadium, Delhi",222,6,37.0,Good
Abishek Porel,"Barsapara Cricket Stadium, Guwahati",7,1,7.0,Bad
Abishek Porel,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),0,1,0.0,Bad
Abishek Porel,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam) ,9,1,9.0,Bad
Abishek Porel,"Eden Gardens, Kolkata",18,1,18.0,Poor
Abishek Porel,"M.Chinnaswamy Stadium, Bengaluru",7,2,3.5,Bad
Abishek Porel,Maharaja Yadavindra Singh International Cricket St (Mullanpur),32,1,32.0,Good
Abishek Porel,"Narendra Modi Stadium, Ahmedabad",15,1,15.0,Poor
Abishek Porel,"Sawai Mansingh Stadium, Jaipur",9,1,9.0,Bad
Abishek Porel,"Wankhede Stadium, Mumbai",41,1,41.0,Excellent
Akash Deep,"Dr DY Patil Sports Academy, Mumbai",0,1,0.0,Bad
Akash Deep,"Eden Gardens, Kolkata",17,1,17.0,Poor
Akash Deep,"Wankhede Stadium, Mumbai",2,1,2.0,Bad
Akash Madhwal,"Wankhede Stadium, Mumbai",4,1,4.0,Bad
Aman Hakim Khan,"Arun Jaitley Stadium, Delhi",31,4,7.75,Bad
Aman Hakim Khan,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",4,1,4.0,Bad
Aman Hakim Khan,"Brabourne Stadium, Mumbai",5,1,5.0,Bad
Aman Hakim Khan,"M.Chinnaswamy Stadium, Bengaluru",18,1,18.0,Poor
Aman Hakim Khan,"MA Chidambaram Stadium, Chennai",2,1,2.0,Bad
Aman Hakim Khan,"Narendra Modi Stadium, Ahmedabad",51,1,51.0,Excellent
Aman Hakim Khan,"Rajiv Gandhi International Stadium, Hyderabad",4,1,4.0,Bad
Anmolpreet Singh,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",31,1,31.0,Good
Anmolpreet Singh,"Brabourne Stadium, Mumbai",8,1,8.0,Bad
Anmolpreet Singh,"Dr DY Patil Sports Academy, Mumbai",5,1,5.0,Bad
Anmolpreet Singh,"MA Chidambaram Stadium, Chennai",0,1,0.0,Bad
Anmolpreet Singh,"Narendra Modi Stadium, Ahmedabad",5,1,5.0,Bad
Anmolpreet Singh,"Rajiv Gandhi International Stadium, Hyderabad",41,2,20.5,Average
Anmolpreet Singh,"Sawai Mansingh Stadium, Jaipur",33,1,33.0,Good
Anuj Rawat,"Arun Jaitley Stadium, Delhi",8,1,8.0,Bad
Anuj Rawat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",9,1,9.0,Bad
Anuj Rawat,"Brabourne Stadium, Mumbai",0,1,0.0,Bad
Anuj Rawat,"Dr DY Patil Sports Academy, Mumbai",37,4,9.25,Bad
Anuj Rawat,"Eden Gardens, Kolkata",1,1,1.0,Bad
Anuj Rawat,"M.Chinnaswamy Stadium, Bengaluru",88,6,14.666666666666666,Poor
Anuj Rawat,"MA Chidambaram Stadium, Chennai",48,1,48.0,Excellent
Anuj Rawat,"Maharashtra Cricket Association Stadium, Pune",66,1,66.0,Excellent
Anuj Rawat,"Sawai Mansingh Stadium, Jaipur",29,1,29.0,Average
Anuj Rawat,"Wankhede Stadium, Mumbai",32,3,10.666666666666666,Poor
Arjun Tendulkar,"Narendra Modi Stadium, Ahmedabad",13,1,13.0,Poor
Arshad Khan,"Arun Jaitley Stadium, Delhi",58,1,58.0,Excellent
Arshad Khan,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",20,1,20.0,Average
Arshad Khan,"M.Chinnaswamy Stadium, Bengaluru",15,1,15.0,Poor
Arshad Khan,"MA Chidambaram Stadium, Chennai",1,1,1.0,Bad
Arshad Khan,"Wankhede Stadium, Mumbai",2,2,1.0,Bad
Arshad Khan (2),"Eden Gardens, Kolkata",5,1,5.0,Bad
Arshdeep Singh,"Brabourne Stadium, Mumbai",19,2,9.5,Bad
Arshdeep Singh,"Dr DY Patil Sports Academy, Mumbai",2,2,1.0,Bad
Arshdeep Singh,Himachal Pradesh Cricket Association Stadium (Dharamsala),4,1,4.0,Bad
Arshdeep Singh,"Maharashtra Cricket Association Stadium, Pune",0,1,0.0,Bad
Arshdeep Singh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,1,2.0,Bad
Arshdeep Singh,"Wankhede Stadium, Mumbai",0,1,0.0,Bad
Ashutosh Sharma,"Barsapara Cricket Stadium, Guwahati",17,1,17.0,Poor
Ashutosh Sharma,Himachal Pradesh Cricket Association Stadium (Dharamsala),11,2,5.5,Bad
Ashutosh Sharma,Maharaja Yadavindra Singh International Cricket St (Mullanpur),97,3,32.333333333333336,Good
Ashutosh Sharma,Maharaja Yadavindra Singh International Cricket St (Mullanpur) ,31,1,31.0,Good
Ashutosh Sharma,"Narendra Modi Stadium, Ahmedabad",31,1,31.0,Good
Ashutosh Sharma,"Rajiv Gandhi International Stadium, Hyderabad",2,1,2.0,Bad
Atharva Taide,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,1,0.0,Bad
Atharva Taide,Himachal Pradesh Cricket Association Stadium (Dharamsala),74,2,37.0,Good
Atharva Taide,"MA Chidambaram Stadium, Chennai",13,1,13.0,Poor
Atharva Taide,Maharaja Yadavindra Singh International Cricket St (Mullanpur) ,15,1,15.0,Poor
Atharva Taide,"Punjab Cricket Association IS Bindra Stadium, Mohali",70,2,35.0,Good
Atharva Taide,"Rajiv Gandhi International Stadium, Hyderabad",46,1,46.0,Excellent
Atharva Taide,"Wankhede Stadium, Mumbai",29,1,29.0,Average
Avesh Khan,"Arun Jaitley Stadium, Delhi",7,1,7.0,Bad
Avesh Khan,"Barsapara Cricket Stadium, Guwahati",3,1,3.0,Bad
Avesh Khan,"Brabourne Stadium, Mumbai",1,1,1.0,Bad
Avesh Khan,"M.Chinnaswamy Stadium, Bengaluru",0,1,0.0,Bad
Avesh Khan,"Maharashtra Cricket Association Stadium, Pune",14,2,7.0,Bad
Avesh Khan,"Wankhede Stadium, Mumbai",7,1,7.0,Bad
Azmatullah Omarzai,"Arun Jaitley Stadium, Delhi",1,1,1.0,Bad
Azmatullah Omarzai,"MA Chidambaram Stadium, Chennai",11,1,11.0,Poor
Azmatullah Omarzai,Maharaja Yadavindra Singh International Cricket St (Mullanpur),13,1,13.0,Poor
Azmatullah Omarzai,"Narendra Modi Stadium, Ahmedabad",17,1,17.0,Poor
B Indrajith,"Maharashtra Cricket Association Stadium, Pune",0,1,0.0,Bad
B Indrajith,"Wankhede Stadium, Mumbai",21,2,10.5,Poor
B Kumar,"Brabourne Stadium, Mumbai",5,1,5.0,Bad
B Kumar,"Dr DY Patil Sports Academy, Mumbai",1,1,1.0,Bad
B Kumar,"MA Chidambaram Stadium, Chennai",4,2,2.0,Bad
B Kumar,Maharaja Yadavindra Singh International Cricket St (Mullanpur),6,1,6.0,Bad
B Kumar,"Maharashtra Cricket Association Stadium, Pune",9,2,4.5,Bad
B Kumar,"Narendra Modi Stadium, Ahmedabad",27,2,13.5,Poor
B Kumar,"Rajiv Gandhi International Stadium, Hyderabad",28,5,5.6,Bad
B Kumar,"Wankhede Stadium, Mumbai",9,2,4.5,Bad
B Sai Sudharsan,"Arun Jaitley Stadium, Delhi",127,2,63.5,Excellent
B Sai Sudharsan,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",31,1,31.0,Good
B Sai Sudharsan,"Brabourne Stadium, Mumbai",69,3,23.0,Average
B Sai Sudharsan,"Dr DY Patil Sports Academy, Mumbai",76,2,38.0,Good
B Sai Sudharsan,"M.Chinnaswamy Stadium, Bengaluru",6,1,6.0,Bad
B Sai Sudharsan,"MA Chidambaram Stadium, Chennai",37,1,37.0,Good
B Sai Sudharsan,Maharaja Yadavindra Singh International Cricket St (Mullanpur),31,1,31.0,Good
B Sai Sudharsan,"Narendra Modi Stadium, Ahmedabad",603,12,50.25,Excellent
B Sai Sudharsan,"Punjab Cricket Association IS Bindra Stadium, Mohali",19,1,19.0,Poor
B Sai Sudharsan,"Sawai Mansingh Stadium, Jaipur",35,1,35.0,Good
BA Stokes,"MA Chidambaram Stadium, Chennai",8,1,8.0,Bad
BA Stokes,"Narendra Modi Stadium, Ahmedabad",7,1,7.0,Bad
BR Sharath,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,1,2.0,Bad
C Green,"Arun Jaitley Stadium, Delhi",17,1,17.0,Poor
C Green,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",4,1,4.0,Bad
C Green,"Eden Gardens, Kolkata",6,1,6.0,Bad
C Green,Himachal Pradesh Cricket Association Stadium (Dharamsala),46,1,46.0,Excellent
C Green,"M.Chinnaswamy Stadium, Bengaluru",121,7,17.285714285714285,Poor
C Green,"MA Chidambaram Stadium, Chennai",65,3,21.666666666666668,Average
C Green,"Narendra Modi Stadium, Ahmedabad",90,3,30.0,Good
C Green,"Punjab Cricket Association IS Bindra Stadium, Mohali",23,1,23.0,Average
C Green,"Rajiv Gandhi International Stadium, Hyderabad",101,2,50.5,Excellent
C Green,"Sawai Mansingh Stadium, Jaipur",5,1,5.0,Bad
C Green,"Wankhede Stadium, Mumbai",229,7,32.714285714285715,Good
C Sakariya,"Arun Jaitley Stadium, Delhi",0,1,0.0,Bad
C Sakariya,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",4,1,4.0,Bad
CJ Jordan,"Brabourne Stadium, Mumbai",5,1,5.0,Bad
CJ Jordan,"Dr DY Patil Sports Academy, Mumbai",6,1,6.0,Bad
CJ Jordan,"MA Chidambaram Stadium, Chennai",4,1,4.0,Bad
CJ Jordan,"Narendra Modi Stadium, Ahmedabad",2,1,2.0,Bad
CV Varun,"Arun Jaitley Stadium, Delhi",1,1,1.0,Bad
CV Varun,"Brabourne Stadium, Mumbai",2,2,1.0,Bad
CV Varun,"Dr DY Patil Sports Academy, Mumbai",10,1,10.0,Poor
CV Varun,"Eden Gardens, Kolkata",0,1,0.0,Bad
D Brevis,"Brabourne Stadium, Mumbai",31,1,31.0,Good
D Brevis,"Dr DY Patil Sports Academy, Mumbai",4,1,4.0,Bad
D Brevis,"Maharashtra Cricket Association Stadium, Pune",86,3,28.666666666666668,Average
D Brevis,"Narendra Modi Stadium, Ahmedabad",46,1,46.0,Excellent
D Brevis,"Wankhede Stadium, Mumbai",63,4,15.75,Poor
